Title,Storyline
Cursed,An American drifter is cursed and undergoes a supernatural transformation after arriving in a rural Romanian village and stealing from a produce stand.
Cursed,N/A
Cursed Waters: Creature of Lake Okanagan,"Lake Okanagan is one of the deepest lakes in North America... and home to a lake monster. Sixty feet long with multiple humps on its back, hundreds of witnesses over centuries have seen the ""demon"" in the lake. Now, two researchers travel to the lake in the interior of British Columbia to get to the heart of the strange phenomenon, and find out what lurks beneath the waters."
Cursed in Baja,"Pirelli, an ex-lawman, travels to Mexico searching for the heir to a Los Angeles fortune, while confronting his own complicated past. But what he finds in Baja challenges him to the core."
Curtains for Christmas,"Holly absolutely loves Christmas movies. After meeting a man with a similar love for Christmas, Holly decides that HER life deserves to be as perfect as the films she loves. By any means necessary."
Custom,A couple producing custom erotic films is dragged into a nightmarish conspiracy when they start working for a mysterious client.
Dabba,N/A
Daddy's Head,A boy and his stepmother fear for their safety after an eerie creature resembling the boy's recently deceased father visits them.
Daemon Mind,A neuroscientist creates a device which frees her inner Daemon allowing her to seek a terrible vengeance upon her enemies
Daft State,"The mysterious psychological destruction of Easton, who is driven to the edge of sanity, and possible self-harm, by those that love him most-his wife and daughter."
Dagr,Fame seeking YouTubers find themselves in a paranormal nightmare when the advert team they are stealing from awakens a murderous occultist from the past.
Dan Da Dan: First Encounter,Momo Ayase is a school girl who meets her classmate Ken Takakura (named after the actor). Their unlikely friendship will face them against ghosts and aliens in a series of dark and funny adventures.
Dancing Village: The Curse Begins,"The village still holds many mysteries. Piece by piece of mystery is revealed, including the terror of the most feared entity, namely, Badarawuhi."
Dank Frank,"When podcaster ""Dank Frank"" unleashes the Banshee on Halloween night, a teen's girlfriend vanishes, a VR trial turns nightmarish, and reality spirals into a darkly funny, horror-laced mess of lost love, bad tech, and supernatural mayhem."
Dante's Inferno,"Dante's Inferno (2022) is a modern-day adaptation of the classic ""Divine Comedy"" by Virgil. Following the journey of Dan, a young writer who descends into the nine circles of hell in search of his lost childhood love during her funeral."
Danyang Mahar Tukar Nyawa,"Galang, an ordinary man in the village who loves Resti, a beautiful girl, the daughter of a famous person in the village."
Darah Nyai,A woman named Rara who experiences a strange incident on the South coast. A murder far from humanity sets in motion a vicious chain of revenge.
Dare to Stay,A group of young adults decide to have some fun in an abandoned house for Halloween. They soon discover it was not a good idea.
Dark Chronicles,A woman hears several haunting tales during a car ride to a friends house on Halloween.
Dark Match,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match."
Dark Motel,"Five foreign students are traveling to reach the party of the year. During the trip, their car breaks down and they have to wait for help in a strange Motel, owned by a weird man, Angel. What seems to be a simple stop becomes a long nightmare from which they'll try to wake up, but will they be able to do it?"
DarkGame,"A determined detective is in a race against time to stop a twisted game show on the dark web, where captives are forced to compete for their lives."
Darkness,A girl who blames herself for the death of her friend must learn to forgive herself before the guilt overcomes her.
Darkness Hunting,"In search of monumental fame, a small group of would-be ghost-hunters investigate a notoriously haunted location, only to unleash a terrifying darkness. To make matters worse, not everyone in the group is who they appear to be, and they just might require the assistance of a world-renowned medium if they wish to make it out alive."
Darling,"A tourist office employee, Raghav, inadvertently weds Anandhi while saving for his dream Paris honeymoon, resulting in a series of challenges he must confront."
Darr Awaaz,N/A
Dashboard Dogs,"Dashboard Dogs is a satirical romp that touches on friendship, the artistic journey, and finding your true calling."
Dating Horror Stories,Three dark tales show modern dating's horrors when new relationships turn deadly in this twisted anthology mixing dark comedy with terror.
Daughters of the Naked goddess,N/A
Day of the Clones,"When homicidal clones take over the world, a guilt-ridden scientist tries to protect a group of humans in an isolated farmhouse. But the child growing in his girlfriend's womb might just spell the end for mankind."
Day of the Wicked,"A victim of workplace bullying seeks vengeance against his tormentors using ancient and sinister forces, unwittingly triggering the opening of a demonic gateway that unleashes chaos and destruction upon the world."
Daylight to Dark,"A brother and sister stranded in an isolated town are beset upon by vampires, and meet the cowboy vampire hunter who aims to slay them."
Dead Body,"It was a Revenge horror movie. The actress betrayed by his lover and his friends, for this reason the actress want to revenge with his lover and his lover friends. The police force did not believe that horror activities."
Dead Boys Club,"Firhan, Fang Liang, Prem and Melati are good friends and often make the cemetery their hangout place. Firhan, who lost his mother from an accident 10 years ago, still cannot forget her and his emotions are always in turmoil. He feels that his dreams are reality and believes his mother is still alive. He invites his friends to go to the accident scene to find her. While in the forest, their thoughts were manipulated and they experienced various strange and terrifying events."
Dead Fun,"A group of friends attend a house party. Waiting through the doors is a wild night, an ex-girlfriend, and nigga zombies."
Dead Mail,"An ominous help note finds its way to a 1980s post office, connecting a dead letter investigator to a kidnapped keyboard technician."
Dead Men,"Two Hitmen from New Jersey travel to Florida for a job, until the dead rise."
Dead Name,"A psychological thriller Dead Name follows Nia, a retired hit woman, who is brought back into the game by her criminal family for one last job. To take out her brother Ian to stop a war breaking out. As she searches for Ian things get more complicated leading Nia down a path of twisted nightmares and uncomfortable truths that will reshape her reality forever."
Dead Rock,"Four women on a bachelorette trip camping in a remote stretch of the Mojave desert encounter terrifying locals amongst the rocky terrain, hell bent on making them their next meal."
Dead Talents Society,Follows ghosts who want to become the spookiest of urban legends and most successful and famous stars in the underworld through their scare tactics and performances amongst the living.
Dead Talk Tales: Volume I,"Step into the abyss of fear with a spine-chilling horror/thriller feature film anthology. Uncover tales of demonic entities, the paranormal, ancient creatures, and unknown mysteries. Explore the depths of terror in this gripping experience"
Dead Teenagers,"Five teens stalked by a killer in the woods face a twist when he dies accidentally. Now trapped in a horror movie plot, they must complete the script to escape."
Dead Whisper,"Dead Whisper centers on Elliot Campbell, a Cape Cod lawyer drawn to a mysterious island where he is tempted by a reunion with his dead daughter, but at the peril of his soul."
Dead-End,"A man (Henry) wakes up in the middle of an apocalyptic world, remembering nothing but his name. He encounters a group of survivors (Connie, Gideon, Julius, Dylan, and Noah) who are determined to make it to a safe haven known as New Denver. On the way to New Denver, the team discovers that Henry may not be the man he claims to be."
Deadbolt,"Seeking a fresh start, a young woman finds her sanity on the brink due to unexplained disappearances and chilling nocturnal echoes in her new home."
Deadly Culture: Final Mutation,"A seductive and lethal alien-human hybrid emerges in her ultimate form. As she hunts for prey, unsuspecting victims face a terrifying threat: their very life essence is at risk of being drained by this alluring yet dangerous creature."
Deadly Culture: Species X,"A virus takes over a small town, and the inhabitants become obsessed zombies."
Deadly Retreat,Escape to a secluded cabin where laughter and terror collide in Deadly Retreat. This genre-bending comedy/horror film takes you on a thrilling journey that will leave you both screaming and chuckling in your seat.
Dear Mother Ghost,She died but still caring for her daughter. She is always scared of men who want to fall in love with her daughter.
Death,"A suicidal woman lies in a bathtub. Her past life flashes by, her memories are often incoherent and confused."
Death After Dusk,"In the town of Buck Creek in 1899, the residents live in fear from a murderer known as the Buck Creek Killer. The sheriff decides to assemble a team of nine bounty hunters to track down and eliminate the ruthless killer once and for all."
Death Bitch,Alexis Walker lost her mother and brother in a home invasion. Now Alexis has become a vigilante and walks the streets in search of vengeance. All the while a serial killer known as The South Bay Slasher adds more victims to his list.
Death Perception,"A group of college students attend a watch party for their friends newest independent film but the night takes a dark turn as mystery, betrayal and horror is revealed through each characters conflicting perspective."
Death Ph.D,"To graduate early, a group of psych PhD students must spend a night in a haunted house, record their findings, and make it out alive."
Death Streamer,A modern-day vampire employs technologically advanced glasses that enable him to hunt and LIVE STREAM his bloody feasts.
Death Streamer: Noir Version,"A modern-age vampire employs technologically advanced glasses that enable him to not only hunt his victims in and out of the virtual world...but also LIVE STREAM his bloody feasts for all to see. As this high-tech ghoul continues to glut on his screaming victims, his internet-based cult of personality expands, his fanbase addicted to watching the slaughter. But when an intrepid trio of young supernatural investigators lock-down on the trail of the ""Death Streamer"", the fiend turns the tables and begins stalking them."
Death Web,"A fearless young livestreamer and Alan expert in the occult embark on a journey that transcends the boundaries of the living and the dead. A journey into the unknown where every click, every stream, takes them closer to the abyss."
Death Whisperer 2,"In a world shrouded by darkness, a relentless force seeks retribution, undeterred by boundaries or morality"
Death's Sonata,The story of a man suffering from Schizophrenia and the psychotherapist who tries to find him with the help of his young Bi-Polar patient.
Decayed Network,"Lincoln Cobretti is in tumble mode when his agency drops him, and he must take up employment selling bogus software for a shady software company. Nefarious powers are aligning, moving Lincoln to unknowingly regurgitate a portal to evil into the basement bathtub. The diabolical Ben Worthington means to reclaim the household and harness the vile energies buried beneath. Meanwhile, a mysterious blue girl is offering ambiguous warnings to Lincoln's daughter, Emily. If Lincoln and Emily can open their spiritual eyes to the brewing demonic presence, they may be able to cut it off at the root before it consumes them."
Decibel,"When a struggling singer-songwriter gets the opportunity of a lifetime to work with a tech-obsessed music producer, her art and life are put in peril as she is forced to help create the perfect AI music algorithm."
Delicate Arch,"Four college kids with fracturing relationships take a camping trip in order to escape an ecological disaster. Alone in the desert, they begin to suspect that their reality might not be as it seems, and soon realize they're being watched."
Demo_n,"An online friends' reunion has run amok when Gary opens an email containing a link to a demo of a video game, which he learns is cursed and obliviously invites a supernatural force into the chat."
Demon Stalker,"Jenny, a young single mother is fleeing an abusive ex with her son Harry. She desperately needs to rent a house anywhere. Morton, the estate agent insists she take a mysterious house but has more than a passing interest in her son."
Demon: Azab-ül Kem,N/A
Demons vs. Ghosts,Our Main character is attacked by three Demons taking the shape of humans in a haunted house down in Texas. Will he survive?
Demonte Colony 2,"A group of friends who return to a cursed location, driven by curiosity and the quest to uncover the truth behind the malevolent spirits that reside there."
Der Doktor - L'ombra della morte,"Klaus Herrmann Behnke, a nazist scientist, leads experiments on prisoners with the objective to create a superhuman, failing miserably as his creations start to kill everything on sight."
Der Dritte Gast,Eva and Artur want to spend an evening together in the big city in a hostel. They are the only guests. Or maybe not.
Desert Fiends,Six friends on their way to a concert break down in the middle of nowhere and encounter a deranged family that lives in the desert killing anyone they come across.
Desert Road,A woman crashes her car and walks down the road for help - only to find no matter which way she walks she ends up back at her crashed car again.
"Destination: Hollywood, California","From surreal to real stories, as told on the streets of Hollywood Blvd. Get ready for an Anthology experience that will forever change your appreciation of Hollywood in DESTINATION:HOLLYWOOD"
Destroy All Neighbors,"Struggling prog-rock musician William Brown finds himself in a living nightmare when he accidentally kills Vlad, the neighbor from hell."
Deviant,"Javier skips Christmas eve family dinner for a date made on a kinky dating app. Instead of a romp with a nubile young woman, he is held captive by a depraved middle aged man and his mean-spirited cookie craving mother."
Devil,"Hema married to Alex meets Arun in accident, bond grows. Will Proximity causes strain on Hema's relationship with Alex."
Devil Hunters,This is the story of a young girl who could terrify even the most adept Mahatantrik.
Devil on Stalk,"Kevin Texis, witness of the unexplicable, recounts an experience close to demonic possession that marked his life forever. His testimony reveals a terrifying encounter with supernatural forces that defied reality."
Devil's Horns,"The birth and death of a child who, unbeknownst to his family, had been marked by the devil for the taking."
Devil's Punchbowl,A small town near Devil's Punchbowl is terrorised by a serial killer on Halloween.
Devils Stay,"A heart specialist doubts his daughter's death after an exorcism, believing her heart still beats. Amid her three-day funeral, he and a priest clash over the truth, each trying to prove their stance and potentially save her life."
Devon,"After their daughter vanished from an asylum, Devon's parents engage five explorers to investigate the abandoned site years later via cryptic website, unaware of the sinister one-way journey and terrifying deadly experience awaiting them."
Dia de Finados,N/A
Diary of A Necro Piggy,Police recover a video from Filthina Pig's home of truly shocking material this is that footage. Viewer beware.
Die Alone,Tells the story of a young man who has amnesia. He bands together with a rugged survivalist in a zombie-like outbreak to find his girlfriend.
Dinner with Leatherface,"Documentary about Gunnar Hansen, the actor who portrayed Leatherface in ""The Texas Chainsaw Massacre"" (1974). Friends, colleagues, filmmakers, and fellow actors share personal stories and discuss the dichotomy between the maniacal chainsaw-wielding character he played on-screen and the very intelligent, creative, soft-spoken man he actually was in real life."
Dinosaur Hotel 3,A group of people with dodgy backgrounds wake up in a hotel infested with Dinosaurs and soon discover they must play the games to survive the night.
Director's Cut,"Excited to shoot their first music video, a punk rock band ventures into the woods of P.A. never to return."
Dirty Boy,"Raised in an oppressive cult, a reclusive schizophrenic discovers that he's being framed by cult leaders for a series of ritualistic murders and must prove his innocence by saving their next victim and destroying the evil sect."
Disremembered,"As a teen, Samantha suffered trauma from assaults. She had Veronica, a friend who stood by her until one day she vanished. Finally she met Becca and in Samantha's troubled mind, believed Veronica had returned. Samantha will do whatever it takes to make Becca remember what she never experienced."
Diwe,N/A
Do Not Enter,"Two friends, aspiring YouTubers, trespass where they shouldn't. Their adventure takes a terrifying turn as they confront an unimaginable horror."
Do Not Open,"After arguing with her parents a distraught teen opens an email promising acceptance, but what the message delivers infects the whole family."
Do You See Me?,"A woman is stalked by a sinister clown only she can see. As Halloween nears and no one believes her, she must fight for her life in a terrifying showdown."
Do You See What I See,"On her birthday, Mawar's dream, who was lonely and only accompanied by her boarding house friends, came true about the partner she dreamed of. However, after finding this partner, Mawar's behavior became increasingly strange."
Dogman Territory: Werewolves in the Land Between the Lakes,N/A
Doll,Michael is a door-to-door missionary who stumbles across more than he bargained for when he encounters a malevolent doll who wants to incite chaos.
Dominion of Darkness,Tells about the journey of a priest who doubts his faith and has to be involved in exorcising a demon on a teenager.
Dominus,"After a man is discovered brutally and horrifically murdered, Detective Vance is determined to trace down a demon worshiping cult that are expected to have caused a series of brutal murders over several decades in the Georgetown, D.C. area. With the help of a faithful Priest, they fight the demonic presence that threatens to take more lives."
Domovoy,"Orphans, Varya and Arseniy move from their native village to the house of their adoptive parents. But hope for a happy life fades when they are challenged by an ancient otherworldly force."
Don Dukun,"Don Arif who is an extraordinary shaman and comes from a lineage of famous shaman. As a social media 'influencer', he often thinks of new ways to gain popularity. With the help of Jaafar, his senior assistant, they managed to 'cure' a woman who was possessed while the Shaman Convention was going on. The ceremony then went viral and since then Don Arif has become famous. So began a new journey of his life with a high demand to use his services."
Don't Break the Rules,"After a personal tragedy, a father and son stay at a secluded cabin during a hunting trip when they discover a mysterious set of rules and are forced to face their fears and attempt to survive."
Don't Look Back... I Know Your Origins,"The film tells the story of the long-time Opah's Saka looking for a new victim to tie up. However, there are obstacles and mysteries that cause various horrific incidents to occur."
Don't Make a Sound,"When their car breaks down in the woods, two sisters become the hunted prey of a deranged killer, who captures his victims on film."
Don't Move,"A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down."
Don't Open the Book,N/A
Don't Open the Box,A lonely mute girl has a mysterious creature that she keeps inside a box.
Don't Open the Door,"Far from civilization, in a frozen forest on an inhospitable mountainside, a group of researchers is attacked by an unidentified figure. The sole survivor, a young biologist, takes refuge in the isolated cabin of a mysterious man must live"
Dont,"In this mind-twisting horror mystery: When Dylan disobeys the stereotypical rules of a horror film, after already being warned, his friends quickly face the consequences, including himself. Forcing Dylan into a situation he can not escape from."
Dooba Dooba,In-home security cameras watch as an awkward sixteen year old girl terrorizes her well meaning babysitter.
Doom Walker,A widower receives a letter in the mail that alters the course of his life and the marriage he thought he had.
Doors. Hotel Mystery,"The body of a dead security guard is discovered at the Overlook Hotel, it comes to the attention of the police and the general decides to entrust this case to a young policeman, David, who should receive $ 100,000 for this case, because it is really terrifying. Rumor has it that it all started because of a mysterious door behind which something special is hiding."
Dosa Musyrik,"Things that are forbidden by religion and hated by God, and are related to the supernatural world and invisible creatures."
Dosen Ghaib: It's Nighttime or You Already Know,Four students had to take a short semester while other students were on holiday. At first these students were not suspicious during class.
Down Below,"On the 20th anniversary of the gruesome Christmas Eve murders at St. Agnes church, a demonic preacher returns to haunt that same town's residents."
Down for the Count,"Follows a young blood dealer who has to save the woman he loves, but first he must free himself from the hellish vampire mob that operates in the shadows of Los Angeles."
Dr. Jason II: Lights & Shadows,A satanic alliance tries to pave the way for the birth of the Antichrist.
Dr. Sander's Sleep Cure,"A man, plagued by insomnia, turns to Doctor Sander's Sleep Cure tapes for relief, becoming the unwitting star of his own nightmarish productions, navigating through bizarre and morbid dreamscapes filled with macabre humor."
Dracula: The Count's Kin,"A century after his legendary death, Dracula's blood sister has emerged with her own nefarious plans. Will a newly minted private detective with a mysterious past put an end to these malevolent intentions?"
Drained,"Unemployed artist Thomas is captivated by alluring Rhea, who conceals her vampire nature. Their intense affair takes a sinister turn as Thomas becomes gravely ill."
DreadClub: Vampire's Verdict,"Betty Gray, a college student obsessed with gothic romances, finds herself living one when she falls for Duchamps De Ve--a man on trial for being a vampire."
Dream,"In the midst of a snowstorm, a young man awakens to find himself stranded in his car on a desolate road. Seeking refuge, he stumbles upon an isolated bed and breakfast where he and other travelers uncover chilling secrets linked to the inn's shadowy past."
Dream of Deceit,A young man goes on a sinister journey to decipher a recurring dream he has been having about a mysterious girl.
Dreams of flesh,"In the innovative ""Neovita"" clinic, the Doctor A. Lovo, through a serum of his own invention and the use of virtual reality, is able to cure the particular psycho-physical pathologies of his patients adopting a kind of shock therapy."
Dreams of the Dead,"Creatively blocked and suffering from a bad breakup, writer Adrian Hallow becomes obsessed with a series of letters he receives in the mail. Addressed to the previous occupant, who disappeared under strange circumstances, all the letters are written by a serial killer known as 'K'. At the same time, a mysterious woman appears to Adrian in a series of disturbing dreams, beckoning him to save her. Adrian's reality unravels as he begins a quest to find the truth behind the woman and her strange connection to K. Will Adrian rescue her from death, or become K's next victim?"
Drive Back,A couple returning from their engagement party must escape a sinister and seemingly endless road.
Drive Recorder Spirit,This omnibus consists of three horror stories featuring voice actors and idols.
Drone,N/A
Drops from Hell,N/A
Dukhad patr,Moments of life of a person who is nobody.
Dunwich Journals,"For over 100 years, the occult tales of iconic horror writer H. P. LOVECRAFT have horrified and entranced readers across the world. Now, you can watch an ANTHOLOGY of unreleased LOVECRAFTIAN films from three acclaimed filmmakers, all wrapped into a feature film introduced by the Storyteller of Dunwich."
Dwiju,"Professor Ah-jin, graduate student Hyeon-ah, and Woo-soo are in charge of the exhibition project of Dwiju, which is said to be cursed. As time passes, the three gradually reveal their hidden desires and face the curse that is becoming real"
EP/2,"A scam film festival director encounters an eccentric, rich and potentially deadly filmmaker."
Early Morning Calm,A family travels to their fathers favorite lake to spread his ashes. On route they run into trouble and end up at a strange farmhouse inhabited by a deranged cannibal family.
Earworm,"Henry Adams, a socially awkward man seeking help for his condition accepts an invitation to a self help group that is more than it seems. Danger is around every corner as Henry goes deeper into the treatment."
Easter Bloody Easter,A woman must protect her small town from the Jackalope and his army of devilish bunnies as they embark on a murder spree over the Easter weekend.
Easter Evil,"In Las Vegas, a go-go dancer and a call girl are terrorized by a giant evil rabbit."
Echoes in the Dark,"Haunted by gambling debts, photographer Paolo Rinaldi stumbles upon a chilling detail hidden in a photo of an abandoned factory. Chasing the promise of easy money, he is pulled into a surreal and terrifying descent"
Echoes of Crystal Lake: A Friday the 13th Story,"On Halloween night, Jason Voorhees hunts a missing machete, crossing paths with Mark. They clash at a secluded cabin in a tense showdown between predator and prey, where wits and resilience face the ultimate test amidst chilling dread."
Effigy,"Isolated on the fringes of a soulless metropolis, Catherine survives on scraps of translation work. But a mysterious client offers a lucrative job, and an opportunity for Catherine to indulge in her malformed and incompatible desires."
El Centinela de las Ánimas,N/A
El Juego 2: La Maldición del Bosque,"In this full movie, we present the story of a group of friends who are traveling through the beautiful mountains in search of a vacation home to spend a fun weekend. But a car accident forces them to stop at an inn to spend the night. There, very chilling things begin to happen that will put their lives in danger."
El Kafirun,N/A
El banquete,N/A
El día de la tormenta,"Macario believes that his daughter is the witch responsible for the deaths of several children in the village; tormented, he takes refuge in the mountains to sacrifice her."
El instinto,A home invasion thriller starring a dog trainer trying to modify a human's brain.
El tema del verano,N/A
Elf in the Hood,"A couple find a mysterious elf doll, awaken an evil spirit, and now must survive a terrifying night before Christmas seals their fate."
Else,"A romance blossoms between an introvert and a confident woman, but their relationship faces a threat when a strange epidemic causes the infected to merge with their surroundings, trapping the couple in a shapeshifting nightmare."
Embryonic,A women's sanity begins to unravel when the fetus she tries to abort refuses to die.
Enasar: Sirayet-i Cin,N/A
Erbsünde - Veil of Sin,"Searching for an adventurous story in the woods, a group of journalism students awaken a superhuman being from its lost cryo-chamber. A long night of man hunting and desperation ensues."
Erotik 2: The Beyond,"Dahmer looks as physically ill as he is mentally. He sees, hallucinates, a glowing figure showering him with gold coins as he grovels at its feet, before going to the basement to visit the unfortunate soul he keeps captive down there."
Erracheera,"Dasu marries Avantika who kills his grandmother Panni Parvati for property. Avantika becomes an evil spirit seeking her dead mother. During this, Sivakumar's wife mistakes Avantika for her late mother."
Escape the City,BTS of Case Files. The Dead are no Longer Lonely. Insight on characters. Visit the cast and crew of Case files.
Espantaho,"The story of Monet and her mother Rosa, who are mourning over the death of the family patriarch Pabling. During the nine days of pasiyam, dark secrets and a malevolent plot start to unravel."
Estela,"Susana and Jorge decide to move to a mansion in front of a lake, in search of tranquility that will allow them to become parents. Her obsession with getting pregnant ends up attracting the ghost of a girl looking for a mother."
Etheria Film Night 2024,"The world's best film fest of new horror, science fiction, and fantasy films directed by women is back with its 2024 lineup."
EverMoreOutThere,Darren Anders(Overscope) goes for the trip of his life when he meets a Drug Dealer Wheeler Vex and is in for a wild ride. He meets this drug dealer through his girlfriend Trish. (C)2024 Wreckless Video Entertainment a Overscope Company
Everything Decays,A young sex worker is held in the basement of a sadist. A brutal exploration of nihilism and cruelty that reflects dehumanization in a capitalist society.
Evil in Me,Anna has just moved to a house and lives on her own. A series of strange things start to happen and sometimes thinks she is not alone.
Exhuma,The process of excavating an ominous grave unleashes dreadful consequences buried underneath.
Exorcism Chronicles: The Beginning,"An excommunicated priest helps his monk friend protect a powerful boy from an evil master, forcing him to confront his past."
FPS,"Jiro Nagae, a long-time horror director who has made Kokkuri-san (2011), Kotsutsubo (2012), and Kisaragi Station (2022), has created an experimental horror film that incorporates elements of first-person shooter games."
Family,"Summer, 2002. Watching her sick father decline, 11-year-old Johanna makes a call for a good spirit to save him. But something else comes instead."
Family Comes First,"Serial killer William Afton, or what's left of him, twists the fate of his family in a way that killing them all, again, is needed to set things right for good. In this process, he encounters something no human should ever witness, and it will drag him to the depths of his hollow soul."
Fangs Out: Blood Apocalypse,Ray's arrival at a bunker disrupts Major Cross's team guarding a captured vampire queen. His presence tests loyalties as medical officer Starling and scientist Davis face decisions that could determine humanity's fate in the apocalypse.
Fara suflet,Varvara debates God's death with students. Her sister Angelina gets transferred to reduce abortions. A girl seeks Angelina for an abortion claiming to carry the Antichrist. Varvara questions as Angelina illegally aborts keeping the embryo.
Fatal Exposure,A woman struggling with the need to perform in her personal and professional lives suffers a mental break.
Father's Haunted House,"Dodit, Mother, Mbak Lis and Mas Dewo had to work together to face terrible misfortune that night at Father's official residence. What happened to haunt them that night?"
Fear Cabin: The Last Weekend of Summer,Six friends' end-of-summer cabin party turns deadly when they discover they're not alone in the woods. Their weekend of drinking and fun becomes a fight for survival with an unwanted visitor.
"Fear, Forget My Name","FBI Agent Berkley prepares for her most dangerous assignment yet. A modern neo-noir thriller created by Alex Bram. This musical short film is based on the rock anthem ""FEAR, Forget My Name,"" written and performed by SUPER 400."
Feed the Story Box,"The film follows several different groups of people who are telling intertwining stories. With each new story growing more and more gruesome, the audience is taken on a ride that explores morality, human connection, and the depths of the human mind. They soon discover that if they want to survive, they will have to feed THE STORY BOX!"
Feet of Death,"A USFS ranger investigates a social media influencer's death and unusual occurrences in his town, leading him to confront the possibility of Bigfoot's existence being tied to these events."
Feng Shui,N/A
Festival of the Living Dead,"While attending a festival to commemorate the original zombie attack, Ash and her friends encounter the living dead and must fight back or be devoured."
Fiebre Caribe,A woman in Queens struggles with cannibalistic desires while seeking her missing lover who disappeared en route to Caracas.
Fierce Killer Marsupial,"Two paranormal vloggers find themselves in a battle for survival against a 'drop bear', a terrifying killing machine from Australian folklore that disguises itself as a cute, cuddly koala."
Final Girl: Halloween,After surviving a brutal murder of her friends Erin must navigate life as the sole survivor while she tries to figure out who the killer is.
Finally Home,A man has his home invaded by a stalker and is locked out. His only choice is to break into his own house and take matters into his own hands.
Finger Licking,"Now an adult seeking to get past childhood trauma, Jahmir opens up to psychologist Dana, sharing details and painting images of horrific past encounters with his adopted Duke family. At first he has a strong sense of déjà vu and is slow to connect due to trust, then he embraces comfort in his sessions, finally leading into a disturbing epiphany of the worst kind. Battling memory loss and ""Thought Blocking"", he somehow is not aware - or is he - of the twisted façade Dana presents and the revelation of a gruesome family operation that has him connected far more than ever expected."
Firework,"A fourth of July party turns into chaos after a friend disappears, and violence starts flooding in."
First Person Savior,"Caught between a thankless job with cruel co-workers and a surreal home life consisting of video games, fast food and insomnia, Abe finds out that he has a higher purpose. No matter what, violence is never the answer."
Five Friends,"Trapped on Mount Madyopuro because they violated a myth, Bagas, Lenni, Dicky, Juna and Andrew became suspicious of each other that one of them was a ghost."
Five Nights at Freddy's Minecraft Roleplay Movie,"Set in October of 2024, Squidy and Em get a job at an old and rundown pizzeria from the 2000s. They slowly figure out the mystery behind Freddy's and begin to regret their decision of ever achieving this job."
Five Nights at Freddy's: La Storia Di Giovyx 2 (Fan-Film),N/A
Five Nights at Freddy's: Shadow of Vanny,A young woman named Vanessa is desperate to rid herself of an evil force that found its way to her. The journey towards freedom may change her life in unexpected ways.
Five Nights at TK's: The Curse of TK,"Chris finally meets William TK, And thing gets worse everything has burned to the ground and turnt into dust and Nobody was around expect Chris And William TK."
Flammentod,Ricky is plagued by cruel visions and keeps dreaming about Fire that consumes him. His pathological obsession and longing for a stranger starts as a stalking and ends in a flaming inferno of a Pyromaniac.
Flesh of the Unforgiven,"A dark, psychological, supernatural horror that follows a struggling couple tortured by the twisted games played by the Death Dealer and his manipulating legion of demons."
Flora,"After a terrible miscarriage renders her infertile, Flora falls in love with a mysterious botanist who promises her fertility through the power of flowers, only for her to stumble upon a disturbingly twisted secret."
Florence,N/A
Followers,"A year after surviving a brutal attack, a social media influencer and her friends find themselves once again in the crosshairs of a dangerous and relentless dark web cult, thirsting for retribution and willing to stop at nothing to get it."
For God's Sake Wake Her Up,"In a quest for redemption, Rizz faces a malevolent entity to save April's life by deciphering the chilling secrets within her video diaries."
For Sale,A shady salesman is tasked with selling a haunted house.
Forbidden Tapes - Anthology of Terror,"Yraíra, a mysterious entity, is introduced as the host residing in an abandoned video rental store."
Forgive Me Father,"When a number of mutilated bodies are discovered in a mansion, seasoned Detective Taylor is charged with finding the killer. An unlikely suspect reveals that some secrets are taken to the grave and some secrets take us to the grave"
Framed,"Elena dreams being a model but in her attempt to achieve it she meets Christofer a renowned photographer who seems to be her path to success, he meets her to a photoshoot, after meeting she begins to feel suspicious of something bad."
Frankie Freako,Workaholic yuppie Conor is in an existential rut until one night he catches a bizarre ad for a party hotline hosted by a strange dancing goblin: Frankie Freako. Could this be just the recipe to spice up his boring life?
Freelance,"When a down-on-her luck video editor takes on a mysterious, well-paying job cutting snuff films, she is haunted by visions of the people in her videos."
Frewaka,"Follow a student of nursing palliative care, who is plagued by a trauma from her past that has a disorienting effect on her present, her relationship, her career and her ability to function."
Frica De Noapte,"On the brink of death, Dracula is fiending for blood. He calls upon the clueless Renfield Harker to try to have a bite."
Fright,The chilling story of a young woman and her struggles with crippling agoraphobia. It's 1937 and eighteen year old Emily lives in constant fear of the outside - and of her mysterious mother.
Frights and Fears Vol 2,"Frights and Fears returns with a second installment featuring more horror shorts curated from across the globe. Frights and Fears vol 2 features an expansive offering of horror genre's including the supernatural teen horror ""Glovebox"", the morbidly serene ""bait and switch"" shocker, ""Embrace"", the animated creeper ""Nursery Crimes"", the isolated psychological meditation ""Black Hills"", the folk horror experimental film ""Red Yellow Blue"", and more."
From Darkness,"Park ranger Angelica and ex-Viktor investigate a missing woman's case in a Swedish nature reserve. They explore haunted caves, face their past, and uncover dark secrets while battling a mythical creature."
From Within,"Sofia is an ex-professional runner who ends up working as a mule for a drug cartel. When she and her best friend are ambushed by two corrupt cops who want to kill them and take the drugs, hell will break lose when they find out what they were carrying is not of this world. Now it's up to Doc, a cartel sicario and Sofia's lover, to save their lives."
