Title,Storyline
Bartali's Bicycle,"Two boys from rival communities unite through cycling, inspired by Gino Bartali's heroic legacy of courage, peace, and friendship."
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,N/A
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,N/A
Bear Kid: Super Hero,N/A
Becho,N/A
Benjamin Bat,"The sensitive Benjamin is being mocked by his bat family because he's afraid of the dark. When on top he falls in love with a bird, he becomes a complete outcast. But his love helps him conquer his fear and stand for who he truly is."
Bie ba zuo wen dang hui shi er,Xiaohua is a disruptive student who ignites a Chinese teacher's journey to reinvent himself.
Big City Greens the Movie: Spacecation,"After ruining his family's vacation before it can even begin, Cricket attempts to right his wrongs by volunteering his family for an experimental farming mission - in space."
Bigfoot in Wonderland,"When Little Foot loses his confidence he searches for the Cheshire Cat. The Cat, together with Alice and her friends, help him find the Wizard Of Oz, the only one who can give Little Foot back his confidence."
Bizarros Peixes das Fossas Abissais,N/A
Black Butterflies,N/A
Bloody Escape: Bats out of Hell,"After human experimentation turns Kisaragi into a cyborg, he finds himself pressured by multiple organizations."
Blossomele,"When a young girl moves to her grandmother, she discovers that a boy the size of a little finger lives in the basement. He owns a magical amulet inherited from his grandfather. Together, they figure out how it works and are taken on a journey that will change their lives."
Blue Lock: Episode Nagi,Seishiro Nagi before he enters the titular Blue Lock facility.
Bob a Bobek ve filmu: Na stope Mrkvojeda,Two rabbits living in an old magician's wagon set out to investigate a phenomenon affecting the vegetable gardens in their neighborhood.
Bocchi the Rock! Recap Part 1,"Introverted girl, skilled guitarist 'Guitar Hero', dreams of school band. Unable to make friends until high school when drummer contacts her, altering her solitary life."
Bocchi the Rock! Recap Part 2,"The 2022 hit animated television series ""Bocchi Za Rokku!"" re-edited for film. The film, which also attracted a great deal of attention in terms of music, with the full album ""KESSOKU BAND"" ranking first in Oricon's ""Digital Album Ranking by Number of Sales by Production"" in 2023, will be revived on the movie theater screen."
Bogyó és Babóca 6. - Csengettyuk,"The film is centered around Bogyó (Berry), the snail boy and Babóca (Dolly), the ladybird girl. Like previous seasons, also contains tales that are based on experiences, challenges and feelings familiar to members of the age group."
Bonehead: A Fortnite Legend,N/A
Boonie Bears: Time Twist,"When Vick gets a chance to start his life again as a logger, he must save his friends by embarking on an adventure through time and space."
Boundearth,4 kids must band together in order to defeat the ultimate evil Giygas and save the world.
Boys Go to Jupiter,"A teenager in suburban Florida desperately hustles to make $5,000 in this dreamy and surreal animated coming-of-age story."
Bread Barbershop: Celeb in Bakery Town,N/A
Broken Glass,"Dylan meets Luna after many years since graduation, and soon they fall in love with each other, unaware of the obstacle that is about to come, changing their lives forever as secrets from Luna's past are also uncovered."
Broken oath Chapter #2 Blood Bath on City Island,"When the feds starts to deeply investigate, all the murders on city island, they discover that the murders that are taking place are not just from rival gangs, its also from law enforcement."
Buffalo Kids,"Two Irish orphans journey by train across America, encountering villains and heroes. They make an extraordinary friend and search for a new home, facing adventures and dangers along the way."
COPS VS WHORES,"A suspicious den of desert whores is infiltrated by an elite undercover agent after a powerful police chief's girlfriend goes missing. But the ramshackle home of the whores hides many secrets and the meddling cops might just set off the final war in the ancient battle of Cops Vs Whores. This is Vol 1 of a two part movie. It is hilarious, crude, tasteless, violent and very fun. It isn't rated anything but it's obviously intended for adults with some mental problems."
Cacophony the Animated Movie,Noob and Red have a huge problem with their friends Leo and Scarlett they have to stop Boon from killing and after that the more they stop Boon he revives but gets worse when Boon gets serious and he is now planning on something evil.
Calico Rebellion,"In the lush woods of New York's Catskill Mountains, a mythical memory lives on. Of a time when men - armed with rifles and pitchforks, disguised in eerie leather masks and calico gowns - descended from the hills to stage the ""Second American Revolution"". Two hundred years ago immigrant farmers in the Catskills, fed up with oppression and exploitation by absentee landlords, staged a rebellion known as the Anti-Rent War. The uprising changed the course of history, paving the way to land rights across America and to the formation of a new political group - Abraham Lincoln's Republican Party. Today, although largely forgotten, the historic uprising lives on through direct descendants of those rebellious farmers. CALICO REBELLION explores a pivotal moment in American history, and a community's unique and enduring connection to the past through the songs, stories and costumes preserved from the 1840s. Part historical ""true crime"" story - part meditation on land and belonging in America - CALICO REBELLION is a meditation on small town American history, identity, idealism and the violence that percolates beneath the surface."
Captain Avispa,"Capitán Avispa, hero of Wasptropolis and the Honey Kingdom, puts to test his nobility, justice and innocence against the evil wasp Jacques Poison and his henchmen."
Cekárna,N/A
Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,N/A
Chikoo Bunty in the Ultimate Dream Chase,"The film centers on Chikoo's desire to watch the World Cup final and Bunty's wish to celebrate his birthday, with the events intertwining to create chaos and ultimately, a quest to fulfill both their dreams."
Cille 2069,N/A
Cluedo,"When game meets murder. 1980s, New York City. Anne Bowman and her husband Edward Bowman, did the same thing each year on Halloween night; a themed annual party. It was the ""Bowman's specialty"" some may say. However, this year's party may just be their most unforgettable one yet. Based on the real life board game ""Cluedo,"" some guests took this party theme too seriously. Which one of them will become a real killer?"
Code Geass: Rozé of the Recapture - Part 1,N/A
Code Geass: Rozé of the Recapture: Part 2,N/A
Code Geass: Rozé of the Recapture: Part 3,N/A
Code Geass: Rozé of the Recapture: Part 4,N/A
Collection Ansorge,"The collection includes a series of wonderful animated films by Gisèle and Nag Ansorge, made between 1957 and 1991. It is a representative selection of short films from the Ansorge's oeuvre, restored by the Cinémathèque suisse. Some of the most beautiful works are designed using the sand animation technique developed by Gisèle Ansorge: in 'Anima' (1977), living beings are in a state of constant transformation, and bodies, such as those of a mother and child, flow into one another; a bonus of the collection shows a making-of of 'Anima'. 'Les Corbeaux' (1967) tells a fantastically gruesome fairy tale about the adventures of a rider, while ""Le petit garçon qui vole la lune"" (1988) is a highly imaginative tale of how a boy's theft is linked to the phases of the moon. Gisèle Ansorge (1923-1993) and Ernest, known as Nag Ansorge (1925-2013), made a lasting impression on national and international animation with their films. Inspired by the work of Jirí Trnka, they began experimenting with a Super 8 camera and animated puppets. Encouraged by the festival success of 'Les Corbeaux', they created ten more short films together."
Cordélicos,N/A
Crayon Shin-chan: Our Dinosaur Diary,"After a theme park that revives extinct dinosaurs is opened in Tokyo, Shinnosuke's pet dog, Shiro, crosses paths with a small dinosaur. The two befriend each other, but their friendship might affect the existence of the park."
Crazy Train,"A former FBI agent, haunted by his past, is recruited for one last mission-transporting the world's most notorious killers via cargo train. When a group of documentary filmmakers unwittingly boards the same train, the journey spirals into a nightmarish battle for survival, blending terror with dark humor as the killers are unleashed and a cunning vixen manipulates the chaos."
Criaturas Sorridentes,N/A
Dalia and the Red Book,"Dalia, the daughter of a famous writer who recently passed away, inherits the mission of finishing her father's novel. To do so, she must become part of the story and face its characters, all fighting to be the protagonist of the book."
Dan Da Dan: First Encounter,Momo Ayase is a school girl who meets her classmate Ken Takakura (named after the actor). Their unlikely friendship will face them against ghosts and aliens in a series of dark and funny adventures.
Dance with the Finless Promise,"Since ancient times, the magical inhabitants of the seas have been under the protection of fairies who use the mystical Dance of the Wind to scare away evil. Over the years, magic began to fade, and magical creatures began to disappear. Now, the last of its kind in China can only be saved by a young fairy named Lin, who must find someone to share the Wind Dance with and hide a unique creature from poachers."
Dante's Divine Comedy,"An opera film inspired by Dante's Divine Comedy (Inferno, Purgatorio, Paradisio) featuring cult French actor Denis Lavant and musical performances by the medieval ensemble La Camera Delle Lacrime."
Daughters of Monster Magnet,"A coming-of-age tale of tragic Love turns into a surreal vision of death, rebirth, desire, and beauty."
Day of the Diesels,"The diesels, led by the nefarious Diesel 10, attempt to banish the steam engines and take over the Island of Sodor. Can Thomas and his steamie friends foil their plans or are they all headed for the Smelter's Yard?"
Dead Dead Demon's Dededede Destruction,"Three years ago, On August 31st, A gigantic spaceship called the Mothership suddenly attacked Tokyo, and it seemed like the world was coming to an end. After that, the hopeless situation gradually became part of everyday life, and the strange sight of a mothership floating in the sky became commonplace. Meanwhile, high school girls Kadode Koyama and Oran Nakagawa, also known as ""Ontan,"" are living a casual student life with her homeroom teacher, Watarase, and her close friends."
